"Zeitstempel","Geschlecht","Wie alt sind Sie?","Bitte wählen Sie Ihre höchste abgeschlossene Ausbildung","In welcher Branche sind Sie tätig?","Wo wohnen Sie?","Was beschreibt Ihre Ernährung am besten?","Essen Sie Leberkäse (auch vegetarisch/vegan)?","Wie oft essen Sie Leberkäse?","Was ist Ihre Lieblingssorte?","Wie spontan entscheiden Sie sich, Leberkäse zu kaufen?","Warum essen Sie keinen Leberkäse?","Essen Sie gerne Essen mit spürbarer Schärfe?","Wie scharf essen Sie normalerweise?","Mögen Sie Essen aus den folgenden kulinarischen Regionen?","Wie oft im Jahr kaufen Sie online Kleidung? (für sich selbst)","Ist es schon einmal vorgekommen, dass Ihnen die Größe eines Artikels (Kleidung) bei einer Bestellung nicht gepasst hat?","In wie vielen Größen bestellen Sie den selben Artikel (um garantiert eine passende Größe zu erhalten)?","Wie viele Artikel kaufen Sie circa in einem Jahr?","Wie viele Artikel werden von Ihnen circa zurückgesendet?","An wie vielen Tagen in der Woche verwenden Sie öffentliche Verkehrsmittel?","Welche öffentliche(n) Verkehrsmittel verwenden Sie?","Wofür verwenden Sie öffentliche Verkehrsmittel?","Welche Aspekte könnte man verbessern, damit Sie öfter öffentliche Verkehrsmittel verwenden?","Zahlen Sie persönlich Fixkosten für das Wohnen? (Miete/Kredit)"," Sie können Ihre Grundbedürfnisse...","Haben Sie seit den Teuerungen Ihr Kaufverhalten verändert?","Wie sieht Ihre Wohnsituation aus?","Gehen Sie seit der Teuerung weniger oft essen?","Kaufen Sie seit der Teuerung weniger Luxusartikel? Denken Sie hier an Güter, die Sie nicht benötigen, um Ihre Grundbedürfnisse zu decken, wie z.B. Kleidung, Accessoires, elektronische Geräte, … ","Teil 1: Wie ist Ihre politische Einstellung?","Teil 2: Wie ist Ihre politische Einstellung?"
"2023/04/11 12:58:31 PM OEZ","Männlich","20 - 29","Bachelorstudium","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Ja","Miete","Ja","Ja","2","1"
"2023/04/11 1:14:57 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Medien & Kommunikation","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","25","2","6 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","2","2"
"2023/04/11 1:29:12 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch","mehrmals im Monat","Ja","in einer Größe","20","12","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...nur schwer decken.","Nein","WG oder Studentenheim","","","2","2"
"2023/04/11 1:31:00 PM OEZ","Männlich","10 - 19","Matura/Abitur","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","4","Italienisch;Mexikanisch;Thailändisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Nein","3","3"
"2023/04/11 1:39:16 PM OEZ","Männlich","20 - 29","Matura/Abitur","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","meistens spontan","","Ja","1","Italienisch;Österreichisch;Chinesisch","circa einmal im Monat","Ja","in einer Größe","20","5","2 Tage","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Technische Ausstattung, WLAN, Steckdosen","Ja","...decken.","Nein","WG oder Studentenheim","","","2","2"
"2023/04/11 1:47:45 PM OEZ","Weiblich","30 - 39","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","schmeckt Ihnen nicht","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","4","1","4 Tage","Bus;Straßenbahn;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","2","2"
"2023/04/11 2:07:16 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","30","10","2 Tage","Bus;Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Ja","Ja","2","3"
"2023/04/11 2:08:37 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch","circa alle zwei Monate","Ja","in mehreren Größen","10","20","5 Tage","Bus;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","2","3"
"2023/04/11 2:20:07 PM OEZ","Männlich","20 - 29","Matura/Abitur","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse & Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch","circa alle zwei Monate","Ja","in einer Größe","8","4","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","WG oder Studentenheim","Nein","Ja","3","2"
"2023/04/11 2:21:25 PM OEZ","Weiblich","40 - 49","Diplomstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","5","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Nein","Eigentum","","","3","3"
"2023/04/11 2:27:41 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Landwirtschaft","Land","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","5","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Nein","Nein","1","1"
"2023/04/11 2:28:08 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Design","Land","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","schmeckt Ihnen nicht","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","20","3 Tage","Bus;Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","WG oder Studentenheim","","","3","2"
"2023/04/11 3:25:48 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse & Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","circa alle zwei Monate","Nein","in mehreren Größen","10","5","7 Tage","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...nur schwer decken.","Nein","","","","2","2"
"2023/04/11 4:13:31 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Vegetarisch (kein Fleisch und Fisch)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","2","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","Eigentum","","","1","1"
"2023/04/11 4:22:43 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse & Pikant","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","1 Tag","Bus;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Nein","Nein","2","4"
"2023/04/11 4:51:36 PM OEZ","Männlich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","oft spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Indisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Nein","Miete","","","3","2"
"2023/04/11 5:27:09 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Vegan (keine tierischen Produkte)","Nein","","","","schmeckt Ihnen nicht","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken.","Nein","WG oder Studentenheim","","","2","1"
"2023/04/11 5:32:02 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","2","0","3 Tage","Bus;Zug","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken.","Nein","WG oder Studentenheim","","","3","3"
"2023/04/11 6:25:39 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens geplant","","Nein","","Italienisch;Österreichisch;Mexikanisch","mehrmals im Monat","Ja","in einer Größe","100","10","1 Tag","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Miete","Ja","Ja","3","3"
"2023/04/11 6:38:02 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Mexikanisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","5","0","2 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","WG oder Studentenheim","Nein","Ja","4","3"
"2023/04/11 6:47:18 PM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","mehrmals im Monat","Käse","oft spontan","","Nein","","Italienisch","circa einmal im Monat","Ja","in einer Größe","15","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Miete","Ja","Ja","5","5"
"2023/04/11 6:48:59 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Pikant","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","15","10","1 Tag","Bus;Zug;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","WG oder Studentenheim","Ja","Ja","2","2"
"2023/04/11 7:54:19 PM OEZ","Männlich","30 - 39","Masterstudium","Software & IT-Services","Land","Vegan (keine tierischen Produkte)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Ja","...decken und Geld ansparen.","Nein","Miete","","","2","2"
"2023/04/11 8:17:48 PM OEZ","Männlich","40 - 49","Matura/Abitur","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal pro Woche","Käse","oft spontan","","Nein","","Italienisch;Österreichisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","4","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken und Geld ansparen.","Nein","Miete","","","4","4"
"2023/04/11 8:38:30 PM OEZ","Männlich","20 - 29","Bachelorstudium","Software & IT-Services","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","7","4","7 Tage","Bus;Zug;Straßenbahn;U-Bahn","Beides","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Nein","Ja","4","3"
"2023/04/11 9:04:25 PM OEZ","Männlich","20 - 29","Matura/Abitur","Medien & Kommunikation","Stadt","Vegetarisch (kein Fleisch und Fisch)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;Vieles","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...);Sicherheit (z.B.: Linz Hbf)","Ja","...nur schwer decken.","Ja","WG oder Studentenheim","Ja","Ja","2","2"
"2023/04/11 9:07:26 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Medien & Kommunikation","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens spontan","","Ja","4","Italienisch;Österreichisch;Mexikanisch;Indisch","gar nicht","","","","","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","WG oder Studentenheim","Nein","Ja","1","2"
"2023/04/11 10:38:45 PM OEZ","Weiblich","20 - 29","Matura/Abitur","Software & IT-Services","Stadt","Vegan (keine tierischen Produkte)","Nein","","","","gibts ned in vegan","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in mehreren Größen","10","10","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Ja","Ja","1","1"
"2023/04/11 10:38:50 PM OEZ","Weiblich","10 - 19","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","3","0","2 Tage","Bus;Zug;U-Bahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken.","Nein","WG oder Studentenheim","","","2","2"
"2023/04/12 12:13:39 AM OEZ","Männlich","20 - 29","Masterstudium","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Normal (ohne Käse, ohne Schärfe, keine spezielle Verarbeitung)","meistens geplant","","Nein","","Chinesisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","1","7 Tage","Bus;Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","WG oder Studentenheim","Ja","Ja","4","4"
"2023/04/12 12:47:28 AM OEZ","Weiblich","30 - 39","Matura/Abitur","Medien & Kommunikation","Stadt","Vegan (keine tierischen Produkte)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","3","1","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Ja","Ja","3","3"
"2023/04/12 1:12:36 AM OEZ","Männlich","20 - 29","Matura/Abitur","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","oft spontan","","Ja","3","Italienisch;Österreichisch","einmal im Jahr","Nein","in einer Größe","3","4","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Nein","...decken.","Ja","","Nein","Ja","3","3"
"2023/04/12 8:08:26 AM OEZ","Männlich","20 - 29","Matura/Abitur","Software & IT-Services","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse & Pikant","meistens spontan","","Ja","4","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","7","3","4 Tage","Bus;Zug","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...decken.","Ja","Eigentum","Ja","Ja","2","2"
"2023/04/12 8:42:10 AM OEZ","Männlich","20 - 29","Bachelorstudium","Energie & Bergbau","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Pikant","meistens spontan","","Ja","4","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","5","0","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken.","Ja","Miete","Ja","Ja","3","2"
"2023/04/12 8:42:28 AM OEZ","Weiblich","20 - 29","Bachelorstudium","Medien & Kommunikation","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Nein","","","","passt nicht zu Ihrer Ernährung","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","4","2","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...nur schwer decken.","Ja","Miete","Ja","Ja","3","3"
"2023/04/12 8:42:38 AM OEZ","Weiblich","20 - 29","Matura/Abitur","Fertigung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","meistens spontan","","Nein","","Italienisch;Österreichisch;Chinesisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","5","3 Tage","Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Ja","","Nein","Ja","2","2"
"2023/04/12 8:43:04 AM OEZ","Männlich","20 - 29","Bachelorstudium","Energie & Bergbau","Stadt","Vegan (keine tierischen Produkte)","Nein","","","","passt nicht zu Ihrer Ernährung","Ja","2","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","2","6 Tage","Zug;Straßenbahn","Beides","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Gesundheit (z.B.: FFP2 Maskenpflicht, bessere Hygiene,...)","Ja","...nur schwer decken.","Nein","WG oder Studentenheim","","","2","2"
"2023/04/12 8:43:13 AM OEZ","Männlich","20 - 29","Bachelorstudium","Fertigung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse & Pikant","oft spontan","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Nein","in einer Größe","5","0","0 Tage","","","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","Miete","","","3","3"
"2023/04/12 8:44:10 AM OEZ","Männlich","20 - 29","Matura/Abitur","Ausbildung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Käse","oft spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Ja","in einer Größe","5","1","5 Tage","Bus","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Ja","","Ja","Ja","2","3"
"2023/04/12 8:44:30 AM OEZ","Weiblich","20 - 29","Matura/Abitur","Konsumgüter","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens geplant","","Ja","1","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","circa einmal im Monat","Ja","in einer Größe","10","3","0 Tage","","","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote);Komfort (z.B.: mehr Sitzmöglichkeiten, bequemere Sitze,...)","Nein","...decken und Geld ansparen.","Ja","","Ja","Nein","3","3"
"2023/04/12 8:45:11 AM OEZ","Weiblich","20 - 29","Bachelorstudium","Ausbildung","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens geplant","","Nein","","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch","zwei bis vier Mal im Jahr","Ja","in einer Größe","10","3","5 Tage","Zug","Arbeit/Ausbildung","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten)","Ja","...nur schwer decken.","Nein","Miete","","","2","2"
"2023/04/12 8:45:21 AM OEZ","Männlich","20 - 29","Masterstudium","Fertigung","Stadt","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Ja","3","Italienisch;Österreichisch;Chinesisch;Mexikanisch;Indisch;Thailändisch;griechisch","circa einmal im Monat","Ja","in einer Größe","10","1","4 Tage","Bus;Zug;Straßenbahn","Freizeit","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Nein","Miete","","","1","2"
"2023/04/12 8:45:24 AM OEZ","Männlich","20 - 29","Bachelorstudium","Hardware & Networking","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","einmal im Monat","Käse","meistens spontan","","Ja","2","Italienisch;Österreichisch;Mexikanisch;Indisch;Thailändisch","einmal im Jahr","Nein","in einer Größe","6","0","5 Tage","Zug;Straßenbahn","Beides","Infrastruktur (z.B.: bessere Anbindung, kürzere Wartezeiten);Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Nein","...decken und Geld ansparen.","Nein","","","","4","2"
"2023/04/12 8:45:52 AM OEZ","Männlich","20 - 29","Matura/Abitur","Baugewerbe","Land","Omnivor (tierische und pflanzliche Lebensmittel)","Ja","weniger als einmal im Monat","Pikant","meistens spontan","","Nein","","Österreichisch","einmal im Jahr","Ja","in mehreren Größen","15","50","3 Tage","Bus;Zug;Straßenbahn;U-Bahn","Arbeit/Ausbildung","Preis (z.B.: günstigere Einzelkarten, günstigere Jahreskarten, mehr Angebote)","Ja","...decken und Geld ansparen.","Ja","Miete","Ja","Ja","5","1"
